                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58834,                 1.2068,                0.86089,                      1,                0.31998,                0.75322,                0.64161,                0.54277,                 2.4251,                0.77921,             0.00032232,             0.00032232,             0.00032232
                     36,                0.58719,                 1.0943,                0.89321,                      1,                0.31998,                0.75322,                0.64161,                0.54277,                 2.4251,                0.77921,             0.00032685,             0.00032685,             0.00032685
                     37,                0.64682,                 1.2622,                0.91842,                      1,                0.32119,                0.78056,                0.67203,                0.57355,                 2.3735,                0.77786,             0.00033109,             0.00033109,             0.00033109
                     38,                0.70378,                 1.1036,                0.90072,                      1,                0.32119,                0.78056,                0.67203,                0.57355,                 2.3735,                0.77786,             0.00033506,             0.00033506,             0.00033506
                     39,                0.66508,                 1.1612,                0.93094,                      1,                0.31881,                0.75196,                0.59718,                0.63521,                 2.3984,                 0.7922,             0.00033874,             0.00033874,             0.00033874
                     40,                0.60758,                 1.0171,                0.84729,                      1,                0.31881,                0.75196,                0.59718,                0.63521,                 2.3984,                 0.7922,             0.00034213,             0.00034213,             0.00034213
                     41,                0.82598,                 1.3354,                0.98178,                      1,                 0.3112,                0.72961,                0.55751,                0.67562,                 2.4039,                0.80497,             0.00034525,             0.00034525,             0.00034525
                     42,                0.89506,                 1.3195,                 1.0945,                      1,                 0.3112,                0.72961,                0.55751,                0.67562,                 2.4039,                0.80497,             0.00034808,             0.00034808,             0.00034808
                     43,                0.65807,                 1.1535,                0.88101,                      1,                 0.2993,                0.73197,                0.58071,                0.62527,                 2.4501,                0.79681,             0.00035063,             0.00035063,             0.00035063
                     44,                0.59645,                 1.1123,                 0.9042,                      1,                 0.2993,                0.73197,                0.58071,                0.62527,                 2.4501,                0.79681,             0.00035289,             0.00035289,             0.00035289
                     45,                0.59948,                 1.2834,                0.94097,                      1,                0.28959,                0.76574,                0.60762,                0.59045,                 2.4828,                0.79119,             0.00035487,             0.00035487,             0.00035487
                     46,                0.65745,                 1.0598,                0.91268,                      1,                0.28959,                0.76574,                0.60762,                0.59045,                 2.4828,                0.79119,             0.00035657,             0.00035657,             0.00035657
                     47,                0.70561,                 1.1596,                0.91716,                0.97045,                0.33453,                0.75142,                0.62925,                0.59196,                 2.5137,                0.79316,             0.00035799,             0.00035799,             0.00035799
                     48,                0.72597,                 1.1654,                 0.9545,                0.97045,                0.33453,                0.75142,                0.62925,                0.59196,                 2.5137,                0.79316,             0.00035912,             0.00035912,             0.00035912
                     49,                0.63123,                 1.0402,                0.88694,                0.92564,                 0.3335,                0.72867,                0.60319,                0.58886,                 2.4895,                0.78793,             0.00035997,             0.00035997,             0.00035997
                     50,                0.65487,                0.98514,                0.91197,                0.92564,                 0.3335,                0.72867,                0.60319,                0.58886,                 2.4895,                0.78793,             0.00036054,             0.00036054,             0.00036054
                     51,                0.64131,                 1.1745,                0.87144,                0.87798,                0.31443,                0.77584,                0.65196,                0.55495,                 2.4896,                0.77944,             0.00036082,             0.00036082,             0.00036082
                     52,                0.73771,                 1.1715,                0.96777,                0.87798,                0.31443,                0.77584,                0.65196,                0.55495,                 2.4896,                0.77944,             0.00036082,             0.00036082,             0.00036082
                     53,                0.71293,                 1.1178,                0.98158,                0.87798,                0.31443,                0.77584,                0.65196,                0.55495,                 2.4896,                0.77944,             0.00036054,             0.00036054,             0.00036054
                     54,                0.73097,                 1.1333,                0.94792,                0.85772,                0.30157,                0.80095,                0.67294,                0.53178,                 2.4687,                0.77238,             0.00035998,             0.00035998,             0.00035998
                     55,                 0.6544,                 1.0434,                0.88327,                0.85772,                0.30157,                0.80095,                0.67294,                0.53178,                 2.4687,                0.77238,             0.00035913,             0.00035913,             0.00035913
                     56,                0.58042,                 1.0295,                0.88367,                0.85772,                0.30157,                0.80095,                0.67294,                0.53178,                 2.4687,                0.77238,               0.000358,               0.000358,               0.000358
                     57,                0.73706,                 1.2071,                 1.0002,                0.85312,                0.23798,                0.78493,                0.69135,                0.49045,                  2.511,                 0.7671,             0.00035659,             0.00035659,             0.00035659
                     58,                0.77444,                 2.9267,                 1.0142,                0.85312,                0.23798,                0.78493,                0.69135,                0.49045,                  2.511,                 0.7671,             0.00035489,             0.00035489,             0.00035489
                     59,                0.65612,                  1.077,                0.89766,                0.85312,                0.23798,                0.78493,                0.69135,                0.49045,                  2.511,                 0.7671,             0.00035291,             0.00035291,             0.00035291
                     60,                0.69506,                 1.3694,                0.99583,                0.85388,                0.16187,                0.76921,                0.69028,                0.48507,                 2.5479,                0.76912,             0.00035065,             0.00035065,             0.00035065
                     61,                0.69719,                 1.2252,                0.92185,                0.85388,                0.16187,                0.76921,                0.69028,                0.48507,                 2.5479,                0.76912,              0.0003481,              0.0003481,              0.0003481
                     62,                0.68735,                 1.3706,                 1.0079,                0.85388,                0.16187,                0.76921,                0.69028,                0.48507,                 2.5479,                0.76912,             0.00034528,             0.00034528,             0.00034528
                     63,                  0.689,                 1.2033,                 0.9857,                0.88108,                 0.2499,                 0.8187,                0.72297,                0.49881,                 2.5239,                0.77554,             0.00034217,             0.00034217,             0.00034217
                     64,                0.80376,                 1.1471,                 0.9381,                0.88108,                 0.2499,                 0.8187,                0.72297,                0.49881,                 2.5239,                0.77554,             0.00033877,             0.00033877,             0.00033877
                     65,                0.74191,                 1.0664,                0.93162,                0.88108,                 0.2499,                 0.8187,                0.72297,                0.49881,                 2.5239,                0.77554,             0.00033509,             0.00033509,             0.00033509
                     66,                0.67831,                 1.0641,                0.92494,                0.90082,                0.28393,                0.83333,                0.72741,                0.51076,                 2.4828,                0.79166,             0.00033114,             0.00033114,             0.00033114
                     67,                0.65056,                0.93376,                0.95451,                0.90082,                0.28393,                0.83333,                0.72741,                0.51076,                 2.4828,                0.79166,             0.00032689,             0.00032689,             0.00032689
                     68,                0.68807,                 1.0253,                0.95955,                0.90082,                0.28393,                0.83333,                0.72741,                0.51076,                 2.4828,                0.79166,             0.00032237,             0.00032237,             0.00032237
                     69,                0.69505,                 0.9932,                0.92734,                0.86767,                0.58651,                0.81722,                0.71157,                0.50379,                 2.3308,                0.80063,             0.00031756,             0.00031756,             0.00031756
                     70,                0.71321,                 1.0554,                  1.011,                0.86767,                0.58651,                0.81722,                0.71157,                0.50379,                 2.3308,                0.80063,             0.00031247,             0.00031247,             0.00031247
                     71,                0.73442,                 1.1807,                0.97687,                0.86767,                0.58651,                0.81722,                0.71157,                0.50379,                 2.3308,                0.80063,             0.00030709,             0.00030709,             0.00030709
                     72,                0.65286,                 1.0801,                0.93601,                0.99687,                 0.7572,                0.92013,                0.81252,                0.47388,                 2.1886,                 0.8042,             0.00030143,             0.00030143,             0.00030143
                     73,                0.78506,                 1.0799,                 1.0147,                0.99687,                 0.7572,                0.92013,                0.81252,                0.47388,                 2.1886,                 0.8042,             0.00029549,             0.00029549,             0.00029549
