                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.52285,                 1.5092,                 1.4632,                0.82523,                0.53408,                  0.725,                0.50217,                0.42767,                0.00853,                0.36667,                0.01328,                0.00291,                0.59201,                 4.7517,                 2.7601,                0.78764,             0.00041504,             0.00041504,             0.00041504
                     26,                 0.6215,                 1.5255,                 1.4741,                0.83632,                0.58599,                  0.725,                0.51013,                0.44126,                 0.0094,                0.43958,                0.03046,                0.00576,                 0.5776,                 4.6556,                 2.7314,                0.79689,             0.00042637,             0.00042637,             0.00042637
                     27,                0.56917,                 1.4236,                 1.4508,                0.81424,                0.63431,                0.39843,                0.52923,                0.45638,                0.00636,                0.28958,                0.04269,                0.00572,                0.52722,                 4.6422,                 2.7293,                0.78682,             0.00043727,             0.00043727,             0.00043727
                     28,                0.54094,                 1.6193,                 1.4348,                0.82791,                0.63431,                0.39843,                0.52923,                0.45638,                0.00636,                0.28958,                0.04269,                0.00572,                0.52722,                 4.6422,                 2.7293,                0.78682,             0.00044772,             0.00044772,             0.00044772
                     29,                0.54377,                 1.2704,                 1.5504,                0.82363,                0.58334,                0.34607,                0.53839,                  0.473,                0.00659,                0.32083,                0.04439,                  0.007,                0.53077,                 4.5606,                 2.7466,                0.78593,             0.00045773,             0.00045773,             0.00045773
                     30,                0.55303,                 1.4217,                 1.4184,                0.83407,                0.56757,                 0.6625,                  0.554,                0.47433,                0.01139,                0.53125,                0.14395,                0.03423,                0.55008,                 4.3705,                 2.7745,                0.78501,              0.0004673,              0.0004673,              0.0004673
                     31,                0.53489,                 1.3415,                 1.3059,                0.81509,                0.56757,                 0.6625,                  0.554,                0.47433,                0.01139,                0.53125,                0.14395,                0.03423,                0.55008,                 4.3705,                 2.7745,                0.78501,             0.00047643,             0.00047643,             0.00047643
                     32,                0.55593,                 1.3343,                 1.3504,                0.84831,                0.13094,                 0.8125,                0.59119,                0.50934,                0.01929,                0.87083,                0.47658,                0.12789,                0.50385,                  4.053,                 2.7154,                0.77943,             0.00048512,             0.00048512,             0.00048512
                     33,                 0.4934,                 1.2844,                 1.2903,                0.84842,                      1,                0.09167,                0.72067,                0.63111,                      1,                0.09063,                0.67673,                0.21943,                0.48321,                 3.7845,                 2.6364,                0.77579,             0.00049337,             0.00049337,             0.00049337
                     34,                0.57669,                 1.3222,                 1.2342,                0.83717,                      1,                0.09167,                0.72067,                0.63111,                      1,                0.09063,                0.67673,                0.21943,                0.48321,                 3.7845,                 2.6364,                0.77579,             0.00050118,             0.00050118,             0.00050118
                     35,                0.53001,                 1.3437,                 1.4155,                0.82594,                      1,                0.11416,                0.79458,                0.69422,                      1,                0.11416,                0.76669,                0.29018,                0.46835,                 3.5452,                 2.5912,                0.77007,             0.00050856,             0.00050856,             0.00050856
                     36,                0.57213,                 1.2336,                 1.2562,                0.82561,                      1,                 0.1411,                0.79072,                0.69992,                      1,                 0.1411,                0.79072,                0.34395,                0.44847,                 3.3359,                 2.4802,                0.76609,             0.00051549,             0.00051549,             0.00051549
                     37,                0.48144,                  1.216,                 1.2316,                0.80756,                      1,                 0.1411,                0.79072,                0.69992,                      1,                 0.1411,                0.79072,                0.34395,                0.44847,                 3.3359,                 2.4802,                0.76609,             0.00052198,             0.00052198,             0.00052198
                     38,                 0.5384,                 1.1147,                 1.2235,                0.83525,                      1,                0.19304,                0.79158,                0.71269,                      1,                0.19304,                0.79158,                0.38246,                0.48025,                 3.1023,                 2.3293,                0.77061,             0.00052803,             0.00052803,             0.00052803
                     39,                 0.5305,                 1.1342,                  1.201,                0.84092,                      1,                 0.2123,                0.77792,                0.69112,                      1,                 0.2123,                0.77792,                0.42889,                0.48444,                 2.7479,                 2.2987,                0.77007,             0.00053364,             0.00053364,             0.00053364
                     40,                0.56353,                 1.0955,                 1.2646,                0.82166,                      1,                 0.2123,                0.77792,                0.69112,                      1,                 0.2123,                0.77792,                0.42889,                0.48444,                 2.7479,                 2.2987,                0.77007,             0.00053881,             0.00053881,             0.00053881
                     41,                0.53234,                 1.1203,                 1.2309,                0.81799,                      1,                0.22804,                0.77128,                0.69022,                      1,                0.22804,                0.77128,                0.49557,                0.44069,                 2.3047,                 2.2588,                0.76315,             0.00054355,             0.00054355,             0.00054355
                     42,                0.51105,                 1.1196,                 1.1688,                0.81469,                0.99241,                0.30261,                0.77502,                0.70032,                0.99241,                0.30261,                0.77502,                0.54473,                0.38807,                 1.9598,                 2.1762,                  0.754,             0.00054784,             0.00054784,             0.00054784
                     43,                 0.5059,                 1.0388,                 1.2923,                0.82739,                0.99241,                0.30261,                0.77502,                0.70032,                0.99241,                0.30261,                0.77502,                0.54473,                0.38807,                 1.9598,                 2.1762,                  0.754,             0.00055169,             0.00055169,             0.00055169
                     44,                0.52399,                 1.1505,                 1.2094,                0.82701,                0.95548,                 0.3125,                0.77828,                0.70269,                0.95548,                 0.3125,                0.77828,                0.52963,                0.40159,                 1.7646,                 2.0927,                0.75321,              0.0005551,              0.0005551,              0.0005551
                     45,                 0.5224,                 1.1517,                 1.1856,                 0.8107,                0.95548,                 0.3125,                0.77828,                0.70269,                0.95548,                 0.3125,                0.77828,                0.52963,                0.40159,                 1.7646,                 2.0927,                0.75321,             0.00055807,             0.00055807,             0.00055807
                     46,                0.51027,                0.89894,                 1.2275,                0.81068,                0.78607,                0.39967,                0.79849,                0.70607,                0.78607,                0.39967,                0.79849,                0.53571,                0.41841,                 1.6707,                 1.9911,                0.75696,             0.00056061,             0.00056061,             0.00056061
                     47,                0.47584,                0.83563,                 1.2626,                0.81917,                0.78607,                0.39967,                0.79849,                0.70607,                0.78607,                0.39967,                0.79849,                0.53571,                0.41841,                 1.6707,                 1.9911,                0.75696,              0.0005627,              0.0005627,              0.0005627
                     48,                0.48396,                 1.0675,                 1.1489,                0.81182,                0.79938,                0.50749,                0.81207,                0.72763,                0.79938,                0.50749,                0.81207,                0.51771,                0.45608,                 1.5812,                 1.8736,                0.76214,             0.00056435,             0.00056435,             0.00056435
                     49,                0.52565,                 1.0931,                 1.1865,                0.81598,                0.79938,                0.50749,                0.81207,                0.72763,                0.79938,                0.50749,                0.81207,                0.51771,                0.45608,                 1.5812,                 1.8736,                0.76214,             0.00056556,             0.00056556,             0.00056556
                     50,                0.50381,                0.99431,                 1.3496,                0.82291,                0.71978,                0.62873,                0.81178,                0.73391,                0.71978,                0.62873,                0.81178,                0.52213,                 0.4271,                 1.5198,                 1.7904,                0.75851,             0.00056633,             0.00056633,             0.00056633
