                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.51605,                 2.6899,                 2.4592,                0.83575,                0.02292,                      1,                0.36679,                0.29527,                0.01534,                0.61667,                0.14104,                0.02517,                0.53138,                 5.1703,                  3.128,                0.85107,             0.00022872,             0.00022872,             0.00022872
                     26,                0.54686,                 2.3702,                 2.2165,                0.82637,                0.02292,                      1,                0.36679,                0.29527,                0.01534,                0.61667,                0.14104,                0.02517,                0.53138,                 5.1703,                  3.128,                0.85107,             0.00023516,             0.00023516,             0.00023516
                     27,                0.52077,                 2.4363,                 2.2656,                0.86473,                0.02357,                      1,                0.35657,                 0.2918,                0.01999,                0.72222,                0.19243,                 0.0414,                0.47885,                 5.1292,                 3.0321,                 0.8378,             0.00024134,             0.00024134,             0.00024134
                     28,                0.52592,                 2.0285,                 2.1924,                0.84209,                0.02357,                      1,                0.35657,                 0.2918,                0.01999,                0.72222,                0.19243,                 0.0414,                0.47885,                 5.1292,                 3.0321,                 0.8378,             0.00024729,             0.00024729,             0.00024729
                     29,                0.58987,                   2.41,                  2.275,                0.83432,                0.02363,                      1,                0.36366,                 0.3072,                0.02119,                0.84722,                0.22904,                0.05481,                0.46963,                  5.078,                 2.9038,                0.80242,             0.00025298,             0.00025298,             0.00025298
                     30,                0.54936,                 2.3154,                 2.1014,                 0.8487,                0.02363,                      1,                0.36366,                 0.3072,                0.02119,                0.84722,                0.22904,                0.05481,                0.46963,                  5.078,                 2.9038,                0.80242,             0.00025843,             0.00025843,             0.00025843
                     31,                0.55931,                 1.9608,                 2.0091,                0.83741,                0.02333,                      1,                0.36753,                0.30365,                0.02219,                  0.875,                0.34385,                0.14985,                0.50389,                  4.992,                 2.8391,                 0.8032,             0.00026363,             0.00026363,             0.00026363
                     32,                0.50795,                 1.8537,                  1.816,                0.80104,                0.02333,                      1,                0.36753,                0.30365,                0.02219,                  0.875,                0.34385,                0.14985,                0.50389,                  4.992,                 2.8391,                 0.8032,             0.00026858,             0.00026858,             0.00026858
                     33,                0.50998,                 2.0659,                 1.8742,                0.83955,                0.02399,                      1,                0.37333,                0.29693,                0.02288,                  0.875,                0.35209,                0.19765,                0.51176,                 4.9021,                 2.7747,                0.81105,             0.00027328,             0.00027328,             0.00027328
                     34,                0.50673,                 1.7215,                 1.9586,                0.80306,                0.02399,                      1,                0.37333,                0.29693,                0.02288,                  0.875,                0.35209,                0.19765,                0.51176,                 4.9021,                 2.7747,                0.81105,             0.00027774,             0.00027774,             0.00027774
                     35,                0.46089,                 1.4909,                 1.8388,                0.80814,                 0.0241,                      1,                0.39338,                0.33623,                0.02302,                  0.875,                0.37167,                0.24713,                0.50116,                  4.822,                  2.713,                 0.8119,             0.00028194,             0.00028194,             0.00028194
                     36,                0.54245,                 1.9102,                  1.929,                0.85974,                 0.0241,                      1,                0.39338,                0.33623,                0.02302,                  0.875,                0.37167,                0.24713,                0.50116,                  4.822,                  2.713,                 0.8119,             0.00028591,             0.00028591,             0.00028591
                     37,                 0.5362,                 1.8961,                 1.7896,                0.82721,                0.02412,                      1,                 0.4085,                0.36066,                0.02306,                  0.875,                0.38208,                0.24514,                0.47978,                 4.7773,                 2.6608,                0.81788,             0.00028962,             0.00028962,             0.00028962
                     38,                0.49527,                 1.4535,                  1.683,                0.82152,                0.02412,                      1,                 0.4085,                0.36066,                0.02306,                  0.875,                0.38208,                0.24514,                0.47978,                 4.7773,                 2.6608,                0.81788,             0.00029309,             0.00029309,             0.00029309
                     39,                 0.5217,                 1.6383,                 1.7071,                0.85125,                0.02499,                      1,                0.45003,                0.40187,                0.02401,                  0.875,                0.42359,                0.24027,                0.44219,                 4.7437,                 2.6145,                0.81981,             0.00029631,             0.00029631,             0.00029631
                     40,                0.50007,                 1.3775,                 1.4839,                 0.8419,                0.02499,                      1,                0.45003,                0.40187,                0.02401,                  0.875,                0.42359,                0.24027,                0.44219,                 4.7437,                 2.6145,                0.81981,             0.00029928,             0.00029928,             0.00029928
                     41,                 0.4909,                  1.594,                  1.598,                0.83386,                0.03452,                      1,                 0.4943,                0.44316,                0.03112,                0.84722,                0.37844,                0.23521,                0.41967,                 4.7142,                 2.5696,                0.82148,               0.000302,               0.000302,               0.000302
                     42,                0.44961,                 1.1617,                 1.5332,                0.81115,                0.03452,                      1,                 0.4943,                0.44316,                0.03112,                0.84722,                0.37844,                0.23521,                0.41967,                 4.7142,                 2.5696,                0.82148,             0.00030448,             0.00030448,             0.00030448
                     43,                0.53546,                 1.4371,                 1.5387,                 0.8307,                      1,                0.06544,                0.56728,                0.52215,                      1,                0.06338,                0.49625,                0.28704,                 0.4314,                 4.6642,                 2.5115,                0.81811,             0.00030671,             0.00030671,             0.00030671
                     44,                0.48094,                 1.4094,                  1.407,                0.83555,                      1,                0.06544,                0.56728,                0.52215,                      1,                0.06338,                0.49625,                0.28704,                 0.4314,                 4.6642,                 2.5115,                0.81811,             0.00030869,             0.00030869,             0.00030869
                     45,                0.48474,                  1.261,                 1.3807,                0.84243,                0.96511,                0.17182,                0.47399,                0.44431,                0.95931,                0.16667,                0.42524,                0.24464,                0.39665,                 4.5329,                 2.4115,                0.81332,             0.00031042,             0.00031042,             0.00031042
                     46,                0.46554,                 1.2048,                 1.4845,                0.81888,                0.96511,                0.17182,                0.47399,                0.44431,                0.95931,                0.16667,                0.42524,                0.24464,                0.39665,                 4.5329,                 2.4115,                0.81332,             0.00031191,             0.00031191,             0.00031191
                     47,                0.44926,                 1.2775,                  1.334,                0.82824,                0.96839,                0.19219,                0.48518,                0.45823,                0.93968,                0.16667,                0.42952,                0.25745,                0.38438,                 4.4128,                 2.2928,                0.81304,             0.00031315,             0.00031315,             0.00031315
                     48,                0.45869,                0.97073,                 1.4028,                0.85507,                0.96839,                0.19219,                0.48518,                0.45823,                0.93968,                0.16667,                0.42952,                0.25745,                0.38438,                 4.4128,                 2.2928,                0.81304,             0.00031414,             0.00031414,             0.00031414
                     49,                0.47375,                 1.3025,                 1.3598,                 0.8314,                0.72148,                0.21625,                0.52172,                0.48618,                0.69295,                0.18847,                0.45575,                0.31191,                0.38659,                 4.2236,                 2.2381,                0.82054,             0.00031488,             0.00031488,             0.00031488
                     50,                0.48333,                 1.2471,                 1.2987,                0.83167,                0.72148,                0.21625,                0.52172,                0.48618,                0.69295,                0.18847,                0.45575,                0.31191,                0.38659,                 4.2236,                 2.2381,                0.82054,             0.00031538,             0.00031538,             0.00031538
                     51,                0.51412,                 1.1897,                 1.3412,                0.84294,                0.72192,                   0.25,                0.50867,                0.49094,                0.72192,                   0.25,                0.48013,                0.34095,                0.37981,                  3.969,                 2.1771,                0.81054,             0.00031562,             0.00031562,             0.00031562
                     52,                0.46153,                 1.2926,                 1.2273,                0.84679,                0.72192,                   0.25,                0.50867,                0.49094,                0.72192,                   0.25,                0.48013,                0.34095,                0.37981,                  3.969,                 2.1771,                0.81054,             0.00031563,             0.00031563,             0.00031563
                     53,                0.47487,                 1.0013,                 1.3349,                0.83545,                0.72192,                   0.25,                0.50867,                0.49094,                0.72192,                   0.25,                0.48013,                0.34095,                0.37981,                  3.969,                 2.1771,                0.81054,             0.00031538,             0.00031538,             0.00031538
                     54,                0.44142,                  1.033,                 1.1783,                0.81722,                0.73042,                   0.25,                0.50282,                0.47946,                0.73042,                   0.25,                0.48997,                0.38389,                0.41669,                 3.5925,                 2.2088,                0.83374,             0.00031489,             0.00031489,             0.00031489
                     55,                0.46653,                0.91449,                 1.3673,                0.85437,                0.73042,                   0.25,                0.50282,                0.47946,                0.73042,                   0.25,                0.48997,                0.38389,                0.41669,                 3.5925,                 2.2088,                0.83374,             0.00031414,             0.00031414,             0.00031414
                     56,                0.44151,                0.89519,                 1.2496,                0.81391,                0.73042,                   0.25,                0.50282,                0.47946,                0.73042,                   0.25,                0.48997,                0.38389,                0.41669,                 3.5925,                 2.2088,                0.83374,             0.00031316,             0.00031316,             0.00031316
                     57,                0.42503,                 1.3835,                 1.2062,                0.82794,                 0.9561,                   0.35,                0.49791,                 0.4717,                0.96062,                   0.35,                0.48641,                0.39704,                0.44966,                  3.313,                 2.2069,                0.85233,             0.00031192,             0.00031192,             0.00031192
                     58,                0.45656,                 1.1563,                 1.0969,                 0.8335,                 0.9561,                   0.35,                0.49791,                 0.4717,                0.96062,                   0.35,                0.48641,                0.39704,                0.44966,                  3.313,                 2.2069,                0.85233,             0.00031044,             0.00031044,             0.00031044
                     59,                0.48407,                 1.4027,                  1.318,                 0.8225,                 0.9561,                   0.35,                0.49791,                 0.4717,                0.96062,                   0.35,                0.48641,                0.39704,                0.44966,                  3.313,                 2.2069,                0.85233,              0.0003087,              0.0003087,              0.0003087
                     60,                0.44948,                0.95019,                 1.2827,                0.83805,                 0.9798,                0.38525,                0.53508,                0.49794,                 0.9798,                0.38525,                0.50737,                0.41391,                 0.4314,                 3.1408,                 2.1722,                0.85733,             0.00030673,             0.00030673,             0.00030673
                     61,                0.39653,                 0.7693,                 1.1557,                0.80463,                 0.9798,                0.38525,                0.53508,                0.49794,                 0.9798,                0.38525,                0.50737,                0.41391,                 0.4314,                 3.1408,                 2.1722,                0.85733,              0.0003045,              0.0003045,              0.0003045
                     62,                0.49594,                 1.1717,                 1.2315,                0.84122,                 0.9798,                0.38525,                0.53508,                0.49794,                 0.9798,                0.38525,                0.50737,                0.41391,                 0.4314,                 3.1408,                 2.1722,                0.85733,             0.00030203,             0.00030203,             0.00030203
                     63,                0.47025,                 1.4506,                 1.2716,                0.84755,                0.97386,                0.39295,                0.54317,                0.51739,                0.97386,                0.39295,                0.51728,                0.42173,                0.41372,                 3.0655,                 2.1528,                0.84871,              0.0002993,              0.0002993,              0.0002993
                     64,                0.40789,                  1.096,                 1.1068,                0.81959,                0.97386,                0.39295,                0.54317,                0.51739,                0.97386,                0.39295,                0.51728,                0.42173,                0.41372,                 3.0655,                 2.1528,                0.84871,             0.00029634,             0.00029634,             0.00029634
                     65,                0.44965,                 1.0732,                 1.1066,                0.83215,                0.97386,                0.39295,                0.54317,                0.51739,                0.97386,                0.39295,                0.51728,                0.42173,                0.41372,                 3.0655,                 2.1528,                0.84871,             0.00029312,             0.00029312,             0.00029312
                     66,                0.44771,                 1.1054,                 1.2188,                0.84299,                0.97478,                 0.4169,                0.54311,                0.51056,                0.97774,                0.39897,                0.51246,                0.42607,                0.41377,                 2.9461,                 2.1551,                0.84963,             0.00028966,             0.00028966,             0.00028966
                     67,                0.40913,                0.87795,                 1.1209,                0.83749,                0.97478,                 0.4169,                0.54311,                0.51056,                0.97774,                0.39897,                0.51246,                0.42607,                0.41377,                 2.9461,                 2.1551,                0.84963,             0.00028594,             0.00028594,             0.00028594
                     68,                0.38368,                 1.0271,                 1.2011,                 0.8234,                0.97478,                 0.4169,                0.54311,                0.51056,                0.97774,                0.39897,                0.51246,                0.42607,                0.41377,                 2.9461,                 2.1551,                0.84963,             0.00028199,             0.00028199,             0.00028199
                     69,                0.37049,                0.98459,                 1.2017,                0.80689,                0.98179,                0.44532,                0.55866,                0.52429,                0.98573,                0.43488,                0.52577,                0.44154,                0.43155,                 2.6892,                 2.1439,                0.85885,             0.00027778,             0.00027778,             0.00027778
                     70,                0.44804,                 1.1127,                 1.2406,                0.83956,                0.98179,                0.44532,                0.55866,                0.52429,                0.98573,                0.43488,                0.52577,                0.44154,                0.43155,                 2.6892,                 2.1439,                0.85885,             0.00027333,             0.00027333,             0.00027333
